metric,run_id,algorithm,update_type,update_freq,beta,last_value,auc,auc_normalized,early_slope,half_life_step
teacher_accuracy_combined,tracer_bma_up_freq_2500,tracer,bma,2500.0,,0.6533203125,3115.822265625,0.6210528733554671,-3.9324532298129014e-06,
teacher_accuracy_combined,tracer_bma_up_freq_5,tracer,bma,5.0,,0.7060546875,3550.2314453125,0.7076403120015531,0.00019104151416605758,
teacher_accuracy_combined,tracer_bma_up_freq_50,tracer,bma,50.0,,0.7001953125,3526.57958984375,0.7029259696717255,0.0002127721479635912,
teacher_accuracy_combined,tracer_bma_up_freq_500,tracer,bma,500.0,,0.6962890625,3383.31884765625,0.6743709084424109,0.00016706987140448505,
teacher_avg_confidence_combined,tracer_ema_up_freq_1,tracer,ema,1.0,,0.7928323149681091,3862.4617199003696,0.7698747697627266,9.245659698684097e-05,
teacher_avg_confidence_combined,tracer_ema_up_freq_500,tracer,ema,500.0,,0.7573326826095581,3788.47157561779,0.7551268837187631,0.00012581045853644272,
teacher_avg_confidence_combined,tracer_beta_0.2,tracer,,,0.2,0.718877911567688,3591.1028757691383,0.7157868996947224,3.743789897053741e-05,
teacher_avg_confidence_combined,tracer_beta_1.0,tracer,,,1.0,0.7421667575836182,3752.96142449975,0.7480489185766398,8.159202252935937e-05,
teacher_avg_confidence_combined,tracer_beta_1.5,tracer,,,1.5,0.745184600353241,3774.63297149539,0.752368541258648,8.57784083230214e-05,
teacher_avg_confidence_combined,tracer_bma_up_freq_1000,tracer,bma,1000.0,,0.7089678645133972,3551.137112736702,0.707820831719353,1.5643419522530053e-05,
teacher_avg_confidence_combined,tracer_bma_up_freq_2500,tracer,bma,2500.0,,0.6980408430099487,3496.5244867503643,0.6969353172712113,-3.2993118174660024e-07,
teacher_avg_confidence_combined,tracer_bma_up_freq_5,tracer,bma,5.0,,0.7293310165405273,3683.520874798298,0.7342078682076069,6.599293134156714e-05,
teacher_avg_confidence_combined,tracer_bma_up_freq_50,tracer,bma,50.0,,0.7288617491722107,3672.7453132271767,0.7320600584465705,6.859627617229031e-05,
teacher_avg_confidence_combined,tracer_bma_up_freq_500,tracer,bma,500.0,,0.7161437273025513,3594.2837912738323,0.7164209271024747,3.324031086251189e-05,
teacher_avg_entropy_combined,tracer_ema_up_freq_1,tracer,ema,1.0,,0.4099389314651489,2590.473842084408,0.5163392150854876,-0.0005699669710338089,836.0
teacher_avg_entropy_combined,tracer_ema_up_freq_500,tracer,ema,500.0,,0.538121223449707,3164.7918944358826,0.630813612604196,-0.0008805430073528845,2040.0
teacher_avg_entropy_combined,tracer_beta_0.2,tracer,,,0.2,0.8336564302444458,4697.911739259958,0.936398592636839,-0.00021975217467157937,
teacher_avg_entropy_combined,tracer_beta_1.0,tracer,,,1.0,0.6239189505577087,3343.1359061300755,0.6663615519492543,-0.0005794539132479351,3324.0
teacher_avg_entropy_combined,tracer_beta_1.5,tracer,,,1.5,0.5929045677185059,3133.649631559849,0.6246062650108081,-0.0006105800127231499,1903.0
teacher_avg_entropy_combined,tracer_bma_up_freq_1000,tracer,bma,1000.0,,0.9228429794311525,5024.092076659203,1.0014136090608332,-6.7065694595252e-05,
teacher_avg_entropy_combined,tracer_bma_up_freq_2500,tracer,bma,2500.0,,0.9956907629966736,5336.113117992878,1.0636063619676728,-1.6437275679535067e-06,
teacher_avg_entropy_combined,tracer_bma_up_freq_5,tracer,bma,5.0,,0.7438123226165771,3968.8533471524715,0.7910809940505641,-0.00043108263501036043,
teacher_avg_entropy_combined,tracer_bma_up_freq_50,tracer,bma,50.0,,0.7635496854782104,4105.528104931116,0.8183233216923056,-0.00042415867898601845,
teacher_avg_entropy_combined,tracer_bma_up_freq_500,tracer,bma,500.0,,0.8705803155899048,4741.829298913479,0.9451523418203176,-0.0001676471350183951,
teacher_gt_prob_img,tracer_ema_up_freq_1,tracer,ema,1.0,,0.7479485869407654,3569.353030472994,0.7114516704150453,0.00018022350381866802,
teacher_gt_prob_img,tracer_ema_up_freq_500,tracer,ema,500.0,,0.7013090252876282,3416.161258995533,0.6809171335449177,0.00036708702471645007,
teacher_gt_prob_img,tracer_beta_0.2,tracer,,,0.2,0.6165042519569397,2954.2461634874344,0.5888471523792795,0.0001216880416952513,
teacher_gt_prob_img,tracer_beta_1.0,tracer,,,1.0,0.6732077598571777,3355.710540741682,0.6688679570940826,0.00020594066978051588,
teacher_gt_prob_img,tracer_beta_1.5,tracer,,,1.5,0.6837139129638672,3412.4638067632914,0.6801801488464443,0.0002064649791425588,
teacher_gt_prob_img,tracer_bma_up_freq_1000,tracer,bma,1000.0,,0.5964982509613037,2856.149740561843,0.5692943473313281,6.813586452439165e-05,
teacher_gt_prob_img,tracer_bma_up_freq_2500,tracer,bma,2500.0,,0.5663138628005981,2696.145824804902,0.5374019981671048,-2.928118781968292e-06,
teacher_gt_prob_img,tracer_bma_up_freq_5,tracer,bma,5.0,,0.6396291255950928,3182.904759451747,0.6344239105942021,0.00018434193551789942,
teacher_gt_prob_img,tracer_bma_up_freq_50,tracer,bma,50.0,,0.6353143453598022,3146.7756138294935,0.627222566041233,0.00019978661529760283,
teacher_gt_prob_img,tracer_bma_up_freq_500,tracer,bma,500.0,,0.6097390055656433,2962.697359725833,0.5905316642864744,0.00013402877248279172,
teacher_student_accuracy_diff_combined,tracer_ema_up_freq_1,tracer,ema,1.0,,-0.01171875,1.0166015625,0.0002026313658560489,1.8581324325297225e-07,
teacher_student_accuracy_diff_combined,tracer_ema_up_freq_500,tracer,ema,500.0,,0.005859375,-36.37060546875,-0.007249472885936366,0.00016460550217200863,
teacher_student_accuracy_diff_combined,tracer_beta_0.2,tracer,,,0.2,-0.03515625,-276.01318359375,-0.05501558373404324,-8.421596186384731e-06,
teacher_student_accuracy_diff_combined,tracer_beta_1.0,tracer,,,1.0,-0.01171875,-60.38818359375,-0.012036711898293395,3.082751393505573e-05,
teacher_student_accuracy_diff_combined,tracer_beta_1.5,tracer,,,1.5,-0.01171875,-41.48486328125,-0.008268858537221792,2.6893091947367822e-05,
teacher_student_accuracy_diff_combined,tracer_bma_up_freq_1000,tracer,bma,1000.0,,-0.0478515625,-334.45849609375,-0.06666503808923327,-4.230996611486443e-05,
teacher_student_accuracy_diff_combined,tracer_bma_up_freq_2500,tracer,bma,2500.0,,-0.072265625,-460.7373046875,-0.0918352211854511,-0.0001170531088374354,
teacher_student_accuracy_diff_combined,tracer_bma_up_freq_5,tracer,bma,5.0,,-0.0205078125,-138.912109375,-0.027688281717156128,3.221042571670285e-05,
teacher_student_accuracy_diff_combined,tracer_bma_up_freq_50,tracer,bma,50.0,,-0.02734375,-156.36962890625,-0.031167954735144273,4.679437467749872e-05,
teacher_student_accuracy_diff_combined,tracer_bma_up_freq_500,tracer,bma,500.0,,-0.0361328125,-260.9189453125,-0.052006965380196925,1.1553468088872313e-05,
teacher_student_agreement_combined,tracer_ema_up_freq_1,tracer,ema,1.0,,0.96484375,4780.84228515625,0.9529285001306153,-4.3733096807386356e-05,
teacher_student_agreement_combined,tracer_ema_up_freq_500,tracer,ema,500.0,,0.9580078125,4624.50390625,0.9217667742174761,0.00019280397434089905,
teacher_student_agreement_combined,tracer_beta_0.2,tracer,,,0.2,0.943359375,4375.33935546875,0.8721027218393218,-1.612801763707108e-05,
teacher_student_agreement_combined,tracer_beta_1.0,tracer,,,1.0,0.9365234375,4579.7412109375,0.9128445706471171,-5.8801172704708936e-06,
teacher_student_agreement_combined,tracer_beta_1.5,tracer,,,1.5,0.9365234375,4584.861328125,0.9138651242025285,-2.043551924207876e-05,
teacher_student_agreement_combined,tracer_bma_up_freq_1000,tracer,bma,1000.0,,0.90625,4317.92578125,0.8606589159356466,-3.7352165033661146e-05,
teacher_student_agreement_combined,tracer_bma_up_freq_2500,tracer,bma,2500.0,,0.873046875,4167.70263671875,0.8307160926286464,-0.00014387574737798978,
teacher_student_agreement_combined,tracer_bma_up_freq_5,tracer,bma,5.0,,0.9248046875,4511.7294921875,0.8992883181555911,1.633844035376077e-05,
teacher_student_agreement_combined,tracer_bma_up_freq_50,tracer,bma,50.0,,0.91796875,4498.73779296875,0.8966987827322809,4.741926780207273e-05,
teacher_student_agreement_combined,tracer_bma_up_freq_500,tracer,bma,500.0,,0.927734375,4397.9755859375,0.8766146274539811,2.6284183261733074e-05,
teacher_student_kl_combined,tracer_ema_up_freq_1,tracer,ema,1.0,,0.0003180362400598,6.697398767544403,0.0013349409542641154,-8.91936985906431e-08,3381.0
teacher_student_kl_combined,tracer_ema_up_freq_500,tracer,ema,500.0,,0.0020591109059751,129.71402839699272,0.025854899022716135,-0.00029901445308953264,4814.0
teacher_student_kl_combined,tracer_beta_0.2,tracer,,,0.2,0.0346136353909969,549.6407105687538,0.1095556528938896,5.045672598668541e-05,
teacher_student_kl_combined,tracer_beta_1.0,tracer,,,1.0,0.0129282558336853,158.34179346851283,0.03156105111988863,-1.841191228864447e-05,
teacher_student_kl_combined,tracer_beta_1.5,tracer,,,1.5,0.0113228969275951,125.36751144553976,0.02498854124885684,-1.5574614791871297e-06,
teacher_student_kl_combined,tracer_bma_up_freq_1000,tracer,bma,1000.0,,0.068339928984642,679.4319770004366,0.13542594717964943,9.484100207930656e-05,
teacher_student_kl_combined,tracer_bma_up_freq_2500,tracer,bma,2500.0,,0.094653695821762,915.293242417625,0.1824383580660639,0.0002955848100324796,
teacher_student_kl_combined,tracer_bma_up_freq_5,tracer,bma,5.0,,0.0337014496326446,298.13509836734715,0.059424974759276,-2.460819813649567e-05,
teacher_student_kl_combined,tracer_bma_up_freq_50,tracer,bma,50.0,,0.0368925109505653,333.28834493493173,0.06643180086403533,-6.169923957948786e-05,
teacher_student_kl_combined,tracer_bma_up_freq_500,tracer,bma,500.0,,0.0574602410197258,543.007443389273,0.10823349479552816,-1.6053805223439152e-05,
teacher_student_top5_alignment_img,tracer_ema_up_freq_1,tracer,ema,1.0,,0.984765625,4888.0900390625,0.9743053695558154,-1.309662738650898e-05,
teacher_student_top5_alignment_img,tracer_ema_up_freq_500,tracer,ema,500.0,,0.975,4596.716601562501,0.9162281446206068,0.00014278699614798428,
teacher_student_top5_alignment_img,tracer_beta_0.2,tracer,,,0.2,0.926171875,4320.4828125,0.8611685892962206,-3.4128267763071816e-05,
teacher_student_top5_alignment_img,tracer_beta_1.0,tracer,,,1.0,0.953125,4554.2595703125,0.9077655113238173,-1.4809934239738535e-05,
teacher_student_top5_alignment_img,tracer_beta_1.5,tracer,,,1.5,0.94609375,4577.7962890625,0.9124569043375698,-3.2586299095196075e-05,
teacher_student_top5_alignment_img,tracer_bma_up_freq_1000,tracer,bma,1000.0,,0.89375,4263.693164062501,0.8498491457168926,-3.683433483734157e-05,
teacher_student_top5_alignment_img,tracer_bma_up_freq_2500,tracer,bma,2500.0,,0.882421875,4175.287890625,0.8322280029149227,-0.00010074027171108549,
teacher_student_top5_alignment_img,tracer_bma_up_freq_5,tracer,bma,5.0,,0.921875,4453.5310546875,0.8876880714942419,-6.993852975413163e-06,
teacher_student_top5_alignment_img,tracer_bma_up_freq_50,tracer,bma,50.0,,0.921484375,4430.86875,0.883170968706222,1.562837501350026e-05,
teacher_student_top5_alignment_img,tracer_bma_up_freq_500,tracer,bma,500.0,,0.901953125,4320.250390625,0.8611222624325571,-1.0945918783672884e-06,
