"Step","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_accuracy_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_1.5 - Teacher_teacher_accuracy_combined","tracer_beta_1.5 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_1.5 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_1.0 - Teacher_teacher_accuracy_combined","tracer_beta_1.0 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_1.0 - Teacher_teacher_accuracy_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_accuracy_combined__MAX","tracer_beta_0.2 - Teacher_teacher_accuracy_combined","tracer_beta_0.2 - Teacher_teacher_accuracy_combined__MIN","tracer_beta_0.2 - Teacher_teacher_accuracy_combined__MAX"
"25","0.6279296875","0.6279296875","0.6279296875","0.5419921875","0.5419921875","0.5419921875","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.5400390625","0.609375","0.609375","0.609375","0.5625","0.5625","0.5625","0.5966796875","0.5966796875","0.5966796875","0.5732421875","0.5732421875","0.5732421875","0.5625","0.5625","0.5625"
"26","0.650390625","0.650390625","0.650390625","0.544921875","0.544921875","0.544921875","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.609375","0.609375","0.609375","0.5634765625","0.5634765625","0.5634765625","0.6044921875","0.6044921875","0.6044921875","0.5771484375","0.5771484375","0.5771484375","0.5654296875","0.5654296875","0.5654296875"
"27","0.6396484375","0.6396484375","0.6396484375","0.5283203125","0.5283203125","0.5283203125","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.6044921875","0.6044921875","0.6044921875","0.5478515625","0.5478515625","0.5478515625","0.59375","0.59375","0.59375","0.572265625","0.572265625","0.572265625","0.5556640625","0.5556640625","0.5556640625"
"28","0.634765625","0.634765625","0.634765625","0.5185546875","0.5185546875","0.5185546875","0.5185546875","0.5185546875","0.5185546875","0.5185546875","0.5185546875","0.5185546875","0.5185546875","0.5185546875","0.5185546875","0.6025390625","0.6025390625","0.6025390625","0.533203125","0.533203125","0.533203125","0.583984375","0.583984375","0.583984375","0.5458984375","0.5458984375","0.5458984375","0.5341796875","0.5341796875","0.5341796875"
"29","0.64453125","0.64453125","0.64453125","0.5361328125","0.5361328125","0.5361328125","0.537109375","0.537109375","0.537109375","0.537109375","0.537109375","0.537109375","0.537109375","0.537109375","0.537109375","0.5986328125","0.5986328125","0.5986328125","0.5478515625","0.5478515625","0.5478515625","0.5849609375","0.5849609375","0.5849609375","0.5595703125","0.5595703125","0.5595703125","0.5498046875","0.5498046875","0.5498046875"
"30","0.642578125","0.642578125","0.642578125","0.5283203125","0.5283203125","0.5283203125","0.5263671875","0.5263671875","0.5263671875","0.5263671875","0.5263671875","0.5263671875","0.5263671875","0.5263671875","0.5263671875","0.6220703125","0.6220703125","0.6220703125","0.5478515625","0.5478515625","0.5478515625","0.603515625","0.603515625","0.603515625","0.5712890625","0.5712890625","0.5712890625","0.5537109375","0.5537109375","0.5537109375"
"31","0.640625","0.640625","0.640625","0.5244140625","0.5244140625","0.5244140625","0.5234375","0.5234375","0.5234375","0.5234375","0.5234375","0.5234375","0.5234375","0.5234375","0.5234375","0.599609375","0.599609375","0.599609375","0.541015625","0.541015625","0.541015625","0.580078125","0.580078125","0.580078125","0.5576171875","0.5576171875","0.5576171875","0.5400390625","0.5400390625","0.5400390625"
"32","0.6357421875","0.6357421875","0.6357421875","0.548828125","0.548828125","0.548828125","0.5419921875","0.5419921875","0.5419921875","0.5419921875","0.5419921875","0.5419921875","0.5419921875","0.5419921875","0.5419921875","0.6279296875","0.6279296875","0.6279296875","0.5791015625","0.5791015625","0.5791015625","0.6240234375","0.6240234375","0.6240234375","0.6005859375","0.6005859375","0.6005859375","0.5751953125","0.5751953125","0.5751953125"
"33","0.6630859375","0.6630859375","0.6630859375","0.5498046875","0.5498046875","0.5498046875","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.5478515625","0.6630859375","0.6630859375","0.6630859375","0.5732421875","0.5732421875","0.5732421875","0.6376953125","0.6376953125","0.6376953125","0.5908203125","0.5908203125","0.5908203125","0.5703125","0.5703125","0.5703125"
"34","0.69140625","0.69140625","0.69140625","0.5498046875","0.5498046875","0.5498046875","0.55078125","0.55078125","0.55078125","0.55078125","0.55078125","0.55078125","0.55078125","0.55078125","0.55078125","0.623046875","0.623046875","0.623046875","0.57421875","0.57421875","0.57421875","0.6142578125","0.6142578125","0.6142578125","0.591796875","0.591796875","0.591796875","0.5712890625","0.5712890625","0.5712890625"
"35","0.6650390625","0.6650390625","0.6650390625","0.5458984375","0.5458984375","0.5458984375","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.544921875","0.611328125","0.611328125","0.611328125","0.5751953125","0.5751953125","0.5751953125","0.6044921875","0.6044921875","0.6044921875","0.5830078125","0.5830078125","0.5830078125","0.5712890625","0.5712890625","0.5712890625"
"36","0.6455078125","0.6455078125","0.6455078125","0.552734375","0.552734375","0.552734375","0.5537109375","0.5537109375","0.5537109375","0.5537109375","0.5537109375","0.5537109375","0.5537109375","0.5537109375","0.5537109375","0.6357421875","0.6357421875","0.6357421875","0.5810546875","0.5810546875","0.5810546875","0.61328125","0.61328125","0.61328125","0.6025390625","0.6025390625","0.6025390625","0.58203125","0.58203125","0.58203125"
