"Step","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img__MIN","carot_ema_up_freq_1 - Teacher_teacher_student_top5_alignment_img__MAX","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MIN","carot_ema_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_2500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_1000 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_500 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_1.5 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_50 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_1.0 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_bma_up_freq_5 - Teacher_teacher_student_top5_alignment_img__MAX","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img__MIN","pomp_beta_0.2 - Teacher_teacher_student_top5_alignment_img__MAX"
"25","0.9875","0.9875","0.9875","0.830859375","0.830859375","0.830859375","0.829296875","0.829296875","0.829296875","0.829296875","0.829296875","0.829296875","0.829296875","0.829296875","0.829296875","0.912109375","0.912109375","0.912109375","0.848046875","0.848046875","0.848046875","0.89375","0.89375","0.89375","0.8609375","0.8609375","0.8609375","0.846484375","0.846484375","0.846484375"
"26","0.98203125","0.98203125","0.98203125","0.836328125","0.836328125","0.836328125","0.832421875","0.832421875","0.832421875","0.832421875","0.832421875","0.832421875","0.832421875","0.832421875","0.832421875","0.904296875","0.904296875","0.904296875","0.8453125","0.8453125","0.8453125","0.892578125","0.892578125","0.892578125","0.862109375","0.862109375","0.862109375","0.853125","0.853125","0.853125"
"27","0.982421875","0.982421875","0.982421875","0.82109375","0.82109375","0.82109375","0.82109375","0.82109375","0.82109375","0.82109375","0.82109375","0.82109375","0.82109375","0.82109375","0.82109375","0.91015625","0.91015625","0.91015625","0.829296875","0.829296875","0.829296875","0.88125","0.88125","0.88125","0.850390625","0.850390625","0.850390625","0.83671875","0.83671875","0.83671875"
"28","0.984765625","0.984765625","0.984765625","0.815625","0.815625","0.815625","0.8078125","0.8078125","0.8078125","0.8078125","0.8078125","0.8078125","0.8078125","0.8078125","0.8078125","0.901171875","0.901171875","0.901171875","0.823828125","0.823828125","0.823828125","0.88828125","0.88828125","0.88828125","0.848828125","0.848828125","0.848828125","0.8296875","0.8296875","0.8296875"
"29","0.98359375","0.98359375","0.98359375","0.828125","0.828125","0.828125","0.82734375","0.82734375","0.82734375","0.82734375","0.82734375","0.82734375","0.82734375","0.82734375","0.82734375","0.89921875","0.89921875","0.89921875","0.840234375","0.840234375","0.840234375","0.8859375","0.8859375","0.8859375","0.859375","0.859375","0.859375","0.84765625","0.84765625","0.84765625"
"30","0.984765625","0.984765625","0.984765625","0.82109375","0.82109375","0.82109375","0.81328125","0.81328125","0.81328125","0.81328125","0.81328125","0.81328125","0.81328125","0.81328125","0.81328125","0.919140625","0.919140625","0.919140625","0.834765625","0.834765625","0.834765625","0.892578125","0.892578125","0.892578125","0.86015625","0.86015625","0.86015625","0.84453125","0.84453125","0.84453125"
"31","0.98359375","0.98359375","0.98359375","0.825","0.825","0.825","0.820703125","0.820703125","0.820703125","0.820703125","0.820703125","0.820703125","0.820703125","0.820703125","0.820703125","0.9015625","0.9015625","0.9015625","0.8328125","0.8328125","0.8328125","0.87578125","0.87578125","0.87578125","0.85859375","0.85859375","0.85859375","0.83828125","0.83828125","0.83828125"
"32","0.98984375","0.98984375","0.98984375","0.828125","0.828125","0.828125","0.82890625","0.82890625","0.82890625","0.82890625","0.82890625","0.82890625","0.82890625","0.82890625","0.82890625","0.909765625","0.909765625","0.909765625","0.858203125","0.858203125","0.858203125","0.89375","0.89375","0.89375","0.862109375","0.862109375","0.862109375","0.85234375","0.85234375","0.85234375"
"33","0.983203125","0.983203125","0.983203125","0.82109375","0.82109375","0.82109375","0.819921875","0.819921875","0.819921875","0.819921875","0.819921875","0.819921875","0.819921875","0.819921875","0.819921875","0.911328125","0.911328125","0.911328125","0.851171875","0.851171875","0.851171875","0.889453125","0.889453125","0.889453125","0.868359375","0.868359375","0.868359375","0.844140625","0.844140625","0.844140625"
"34","0.983203125","0.983203125","0.983203125","0.833203125","0.833203125","0.833203125","0.83046875","0.83046875","0.83046875","0.83046875","0.83046875","0.83046875","0.83046875","0.83046875","0.83046875","0.90625","0.90625","0.90625","0.849609375","0.849609375","0.849609375","0.892578125","0.892578125","0.892578125","0.8703125","0.8703125","0.8703125","0.853515625","0.853515625","0.853515625"
