"Step","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_1.5 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_1.0 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_student_accuracy_diff_combined__MAX","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined__MIN","tracer_beta_0.2 - Teacher_teacher_student_accuracy_diff_combined__MAX"
"22","0","0","0","-0.076171875","-0.076171875","-0.076171875","-0.0771484375","-0.0771484375","-0.0771484375","-0.0771484375","-0.0771484375","-0.0771484375","-0.0771484375","-0.0771484375","-0.0771484375","-0.025390625","-0.025390625","-0.025390625","-0.0634765625","-0.0634765625","-0.0634765625","-0.029296875","-0.029296875","-0.029296875","-0.048828125","-0.048828125","-0.048828125","-0.0654296875","-0.0654296875","-0.0654296875"
"23","0.0029296875","0.0029296875","0.0029296875","-0.048828125","-0.048828125","-0.048828125","-0.046875","-0.046875","-0.046875","-0.046875","-0.046875","-0.046875","-0.046875","-0.046875","-0.046875","-0.017578125","-0.017578125","-0.017578125","-0.03515625","-0.03515625","-0.03515625","-0.0166015625","-0.0166015625","-0.0166015625","-0.033203125","-0.033203125","-0.033203125","-0.0439453125","-0.0439453125","-0.0439453125"
"24","-0.00390625","-0.00390625","-0.00390625","-0.0810546875","-0.0810546875","-0.0810546875","-0.078125","-0.078125","-0.078125","-0.078125","-0.078125","-0.078125","-0.078125","-0.078125","-0.078125","-0.0302734375","-0.0302734375","-0.0302734375","-0.0703125","-0.0703125","-0.0703125","-0.037109375","-0.037109375","-0.037109375","-0.0576171875","-0.0576171875","-0.0576171875","-0.0712890625","-0.0712890625","-0.0712890625"
"25","-0.0078125","-0.0078125","-0.0078125","-0.0546875","-0.0546875","-0.0546875","-0.0556640625","-0.0556640625","-0.0556640625","-0.0556640625","-0.0556640625","-0.0556640625","-0.0556640625","-0.0556640625","-0.0556640625","-0.013671875","-0.013671875","-0.013671875","-0.03515625","-0.03515625","-0.03515625","-0.021484375","-0.021484375","-0.021484375","-0.0380859375","-0.0380859375","-0.0380859375","-0.041015625","-0.041015625","-0.041015625"
"26","-0.00390625","-0.00390625","-0.00390625","-0.072265625","-0.072265625","-0.072265625","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0283203125","-0.0283203125","-0.0283203125","-0.056640625","-0.056640625","-0.056640625","-0.0283203125","-0.0283203125","-0.0283203125","-0.0458984375","-0.0458984375","-0.0458984375","-0.060546875","-0.060546875","-0.060546875"
"27","-0.0126953125","-0.0126953125","-0.0126953125","-0.07421875","-0.07421875","-0.07421875","-0.0712890625","-0.0712890625","-0.0712890625","-0.0712890625","-0.0712890625","-0.0712890625","-0.0712890625","-0.0712890625","-0.0712890625","-0.0322265625","-0.0322265625","-0.0322265625","-0.0576171875","-0.0576171875","-0.0576171875","-0.041015625","-0.041015625","-0.041015625","-0.04296875","-0.04296875","-0.04296875","-0.052734375","-0.052734375","-0.052734375"
"28","-0.0009765625","-0.0009765625","-0.0009765625","-0.0791015625","-0.0791015625","-0.0791015625","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.087890625","-0.017578125","-0.017578125","-0.017578125","-0.0693359375","-0.0693359375","-0.0693359375","-0.0361328125","-0.0361328125","-0.0361328125","-0.0625","-0.0625","-0.0625","-0.0751953125","-0.0751953125","-0.0751953125"
"29","-0.0009765625","-0.0009765625","-0.0009765625","-0.05859375","-0.05859375","-0.05859375","-0.0576171875","-0.0576171875","-0.0576171875","-0.0576171875","-0.0576171875","-0.0576171875","-0.0576171875","-0.0576171875","-0.0576171875","-0.0224609375","-0.0224609375","-0.0224609375","-0.052734375","-0.052734375","-0.052734375","-0.0380859375","-0.0380859375","-0.0380859375","-0.052734375","-0.052734375","-0.052734375","-0.05078125","-0.05078125","-0.05078125"
"30","-0.001953125","-0.001953125","-0.001953125","-0.076171875","-0.076171875","-0.076171875","-0.0830078125","-0.0830078125","-0.0830078125","-0.0830078125","-0.0830078125","-0.0830078125","-0.0830078125","-0.0830078125","-0.0830078125","-0.0234375","-0.0234375","-0.0234375","-0.072265625","-0.072265625","-0.072265625","-0.0380859375","-0.0380859375","-0.0380859375","-0.0537109375","-0.0537109375","-0.0537109375","-0.0634765625","-0.0634765625","-0.0634765625"
"31","-0.0009765625","-0.0009765625","-0.0009765625","-0.0703125","-0.0703125","-0.0703125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.0673828125","-0.021484375","-0.021484375","-0.021484375","-0.056640625","-0.056640625","-0.056640625","-0.0361328125","-0.0361328125","-0.0361328125","-0.0517578125","-0.0517578125","-0.0517578125","-0.056640625","-0.056640625","-0.056640625"
