"Step","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined__MIN","tracer_ema_up_freq_1 - Teacher_teacher_student_agreement_combined__MAX","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined__MIN","tracer_ema_up_freq_500 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_2500 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_1000 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_500 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_1.5 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_50 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_1.0 - Teacher_teacher_student_agreement_combined__MAX","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined__MIN","tracer_bma_up_freq_5 - Teacher_teacher_student_agreement_combined__MAX","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined__MIN","tracer_beta_0.2 - Teacher_teacher_student_agreement_combined__MAX"
"22","0.9873046875","0.9873046875","0.9873046875","0.8056640625","0.8056640625","0.8056640625","0.8076171875","0.8076171875","0.8076171875","0.8076171875","0.8076171875","0.8076171875","0.8076171875","0.8076171875","0.8076171875","0.9189453125","0.9189453125","0.9189453125","0.8388671875","0.8388671875","0.8388671875","0.896484375","0.896484375","0.896484375","0.861328125","0.861328125","0.861328125","0.8408203125","0.8408203125","0.8408203125"
"23","0.97265625","0.97265625","0.97265625","0.837890625","0.837890625","0.837890625","0.833984375","0.833984375","0.833984375","0.833984375","0.833984375","0.833984375","0.833984375","0.833984375","0.833984375","0.9111328125","0.9111328125","0.9111328125","0.86328125","0.86328125","0.86328125","0.90625","0.90625","0.90625","0.873046875","0.873046875","0.873046875","0.861328125","0.861328125","0.861328125"
"24","0.978515625","0.978515625","0.978515625","0.826171875","0.826171875","0.826171875","0.8212890625","0.8212890625","0.8212890625","0.8212890625","0.8212890625","0.8212890625","0.8212890625","0.8212890625","0.8212890625","0.908203125","0.908203125","0.908203125","0.845703125","0.845703125","0.845703125","0.896484375","0.896484375","0.896484375","0.8623046875","0.8623046875","0.8623046875","0.849609375","0.849609375","0.849609375"
"25","0.9677734375","0.9677734375","0.9677734375","0.833984375","0.833984375","0.833984375","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.83203125","0.919921875","0.919921875","0.919921875","0.8583984375","0.8583984375","0.8583984375","0.908203125","0.908203125","0.908203125","0.8798828125","0.8798828125","0.8798828125","0.8681640625","0.8681640625","0.8681640625"
"26","0.9853515625","0.9853515625","0.9853515625","0.8388671875","0.8388671875","0.8388671875","0.845703125","0.845703125","0.845703125","0.845703125","0.845703125","0.845703125","0.845703125","0.845703125","0.845703125","0.9267578125","0.9267578125","0.9267578125","0.8564453125","0.8564453125","0.8564453125","0.919921875","0.919921875","0.919921875","0.8828125","0.8828125","0.8828125","0.861328125","0.861328125","0.861328125"
"27","0.9794921875","0.9794921875","0.9794921875","0.828125","0.828125","0.828125","0.826171875","0.826171875","0.826171875","0.826171875","0.826171875","0.826171875","0.826171875","0.826171875","0.826171875","0.912109375","0.912109375","0.912109375","0.8408203125","0.8408203125","0.8408203125","0.884765625","0.884765625","0.884765625","0.859375","0.859375","0.859375","0.8486328125","0.8486328125","0.8486328125"
"28","0.9736328125","0.9736328125","0.9736328125","0.7958984375","0.7958984375","0.7958984375","0.8017578125","0.8017578125","0.8017578125","0.8017578125","0.8017578125","0.8017578125","0.8017578125","0.8017578125","0.8017578125","0.91015625","0.91015625","0.91015625","0.830078125","0.830078125","0.830078125","0.8798828125","0.8798828125","0.8798828125","0.8505859375","0.8505859375","0.8505859375","0.833984375","0.833984375","0.833984375"
"29","0.9814453125","0.9814453125","0.9814453125","0.8515625","0.8515625","0.8515625","0.8505859375","0.8505859375","0.8505859375","0.8505859375","0.8505859375","0.8505859375","0.8505859375","0.8505859375","0.8505859375","0.9326171875","0.9326171875","0.9326171875","0.86328125","0.86328125","0.86328125","0.90234375","0.90234375","0.90234375","0.8818359375","0.8818359375","0.8818359375","0.8662109375","0.8662109375","0.8662109375"
"30","0.9716796875","0.9716796875","0.9716796875","0.8466796875","0.8466796875","0.8466796875","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.916015625","0.916015625","0.916015625","0.8603515625","0.8603515625","0.8603515625","0.8984375","0.8984375","0.8984375","0.876953125","0.876953125","0.876953125","0.861328125","0.861328125","0.861328125"
"31","0.982421875","0.982421875","0.982421875","0.8212890625","0.8212890625","0.8212890625","0.8203125","0.8203125","0.8203125","0.8203125","0.8203125","0.8203125","0.8203125","0.8203125","0.8203125","0.9013671875","0.9013671875","0.9013671875","0.833984375","0.833984375","0.833984375","0.89453125","0.89453125","0.89453125","0.8525390625","0.8525390625","0.8525390625","0.8330078125","0.8330078125","0.8330078125"
"32","0.978515625","0.978515625","0.978515625","0.8427734375","0.8427734375","0.8427734375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.83984375","0.9150390625","0.9150390625","0.9150390625","0.8544921875","0.8544921875","0.8544921875","0.91015625","0.91015625","0.91015625","0.8740234375","0.8740234375","0.8740234375","0.849609375","0.849609375","0.849609375"
